20;183;88;22;26;194;101
20;12;78;38;38;31;97
20;161;44;91;42;206;65
21;292;198;27;41;305;218
21;285;150;34;36;302;168
21;238;139;39;39;257;158
21;216;105;23;25;227;117
21;6;88;34;30;23;103
21;162;61;42;25;183;73
21;206;43;54;35;233;60
22;298;187;21;31;308;202
22;235;138;84;44;277;160
22;215;104;21;23;225;115
22;1;89;36;33;19;105
23;293;208;26;25;306;220
23;279;185;40;32;299;201
23;275;142;44;36;297;160
23;235;133;33;38;251;152
23;165;55;56;46;193;78
23;223;41;41;23;243;52
24;273;174;46;51;296;199
24;277;136;27;36;290;154
24;233;128;33;38;249;147
24;1;92;30;33;16;108
24;208;83;29;43;222;104
24;266;39;22;30;277;54
25;258;173;56;66;286;206
25;265;134;38;33;284;150
25;226;131;36;31;244;146
25;203;49;46;21;226;59
26;224;128;31;29;239;142
26;257;124;45;39;279;143
26;209;98;20;24;219;110
27;244;200;58;39;273;219
27;255;126;48;72;279;162
27;222;117;31;39;237;136
27;205;96;23;22;216;107
27;179;45;80;35;219;62
28;217;196;76;43;255;217
28;204;100;22;17;215;108
28;178;44;87;57;221;72
29;221;122;64;28;253;136
29;191;43;74;35;228;60
30;217;124;21;18;227;133
30;246;116;36;67;264;149
30;174;40;94;57;221;68
31;196;186;73;46;232;209
31;225;125;53;54;251;152
31;207;91;22;19;218;100
31;175;41;88;42;219;62
31;273;40;16;27;281;53
32;237;115;41;57;257;143
32;214;109;32;29;230;123
32;177;41;91;47;222;64
33;188;164;71;60;223;194
33;240;108;33;58;256;137
33;205;88;33;44;221;110
33;174;42;94;54;221;69
34;175;43;93;43;221;64
35;183;152;65;50;215;177
35;236;134;26;25;249;146
35;210;103;24;29;222;117
35;202;84;24;20;214;94
35;197;42;69;31;231;57
36;241;103;22;16;252;111
36;208;100;27;28;221;114
36;179;46;75;39;216;65
37;178;139;62;49;209;163
37;234;100;31;48;249;124
37;184;46;68;55;218;73
38;208;101;27;21;221;111
38;204;79;20;19;214;88
38;185;39;85;43;227;60
39;172;145;24;32;184;161
39;34;76;28;32;48;92
40;261;217;49;22;285;228
40;171;123;75;61;208;153
41;257;204;53;35;283;221
41;31;78;27;30;44;93
41;188;43;68;43;222;64
41;257;33;18;24;266;45
42;252;195;50;44;277;217
42;172;126;52;31;198;141
42;205;91;51;45;230;113
42;31;80;22;29;42;94
42;189;43;67;38;222;62
43;240;185;58;49;269;209
43;173;138;25;20;185;148
43;221;93;33;42;237;114
43;208;88;21;26;218;101
43;188;43;68;45;222;65
44;236;183;54;43;263;204
44;166;93;83;61;207;123
44;190;39;85;41;232;59
45;163;215;48;24;187;227
45;230;179;52;38;256;198
45;169;131;24;21;181;141
45;198;94;46;38;221;113
45;207;73;21;35;217;90
45;189;45;68;32;223;61
46;145;206;73;33;181;222
46;235;168;40;42;255;189
46;171;68;67;74;204;105
46;197;45;63;22;228;56
46;259;40;27;19;272;49
47;130;192;73;47;166;215
47;232;161;37;39;250;180
47;33;92;24;16;45;100
47;165;88;80;57;205;116
47;17;86;17;27;25;99
47;207;82;19;22;216;93
47;193;38;71;38;228;57
48;135;186;59;53;164;212
48;225;156;37;34;243;173
48;168;107;47;37;191;125
48;14;81;17;35;22;98
48;189;39;83;40;230;59
49;275;202;44;37;297;220
49;131;173;62;57;162;201
49;214;152;43;36;235;170
49;167;101;47;38;190;120
49;216;94;19;24;225;106
49;35;93;26;19;48;102
49;8;82;22;35;19;99
49;191;42;65;39;223;61
50;130;169;54;50;157;194
50;209;148;43;33;230;164
50;165;111;48;23;189;122
50;6;92;22;27;17;105
50;206;81;30;35;221;98
50;31;78;28;35;45;95
50;194;39;93;35;240;56
51;133;169;56;41;161;189
51;159;162;21;26;169;175
51;208;143;48;32;232;159
51;167;105;44;28;189;119
51;1;83;27;37;14;101
51;192;44;67;53;225;70
52;135;155;62;45;166;177
52;206;139;37;34;224;156
52;1;93;22;24;12;105
52;188;84;52;42;214;105
52;195;43;65;30;227;58
